zip,year,est total,est gen,est cold,est farm,est other
92358,2012,0,0,0,0,0
92201,2012,1,1,0,0,0
93445,2012,0,0,0,0,0
93940,2012,1,1,0,0,0
93625,2012,2,1,1,0,0
92325,2012,0,0,0,0,0
90262,2012,2,2,0,0,0
90405,2012,0,0,0,0,0
95388,2012,0,0,0,0,0
91911,2012,5,4,0,0,1
94582,2012,0,0,0,0,0
90230,2012,0,0,0,0,0
93650,2012,0,0,0,0,0
92883,2012,2,2,0,0,0
94506,2012,0,0,0,0,0
93401,2012,1,1,0,0,0
91910,2012,0,0,0,0,0
94606,2012,4,2,1,1,0
96064,2012,1,1,0,0,0
92860,2012,1,1,0,0,0
95382,2012,0,0,0,0,0
91791,2012,0,0,0,0,0
95257,2012,0,0,0,0,0
93402,2012,0,0,0,0,0
95698,2012,0,0,0,0,0
91801,2012,0,0,0,0,0
92256,2012,0,0,0,0,0
90006,2012,1,0,0,0,1
96002,2012,1,0,0,0,1
92310,2012,0,0,0,0,0
93291,2012,10,9,0,0,1
95626,2012,0,0,0,0,0
95728,2012,0,0,0,0,0
92014,2012,0,0,0,0,0
94709,2012,0,0,0,0,0
93444,2012,2,1,1,0,0
90755,2012,0,0,0,0,0
95757,2012,0,0,0,0,0
93517,2012,0,0,0,0,0
92282,2012,0,0,0,0,0
90602,2012,0,0,0,0,0
91401,2012,0,0,0,0,0
91423,2012,1,1,0,0,0
95012,2012,2,0,1,0,1
92309,2012,0,0,0,0,0
95703,2012,0,0,0,0,0
95127,2012,0,0,0,0,0
90247,2012,0,0,0,0,0
94964,2012,0,0,0,0,0
90048,2012,1,0,0,0,1
91362,2012,1,1,0,0,0
92154,2012,19,12,3,0,4
95618,2012,0,0,0,0,0
94560,2012,5,4,1,0,0
96010,2012,0,0,0,0,0
95670,2012,2,2,0,0,0
92704,2012,5,4,0,0,1
94621,2012,4,4,0,0,0
90660,2012,11,7,1,0,3
93230,2012,2,2,0,0,0
92009,2012,0,0,0,0,0
90840,2012,0,0,0,0,0
93654,2012,6,1,5,0,0
94028,2012,0,0,0,0,0
91381,2012,0,0,0,0,0
91024,2012,0,0,0,0,0
91040,2012,0,0,0,0,0
95468,2012,0,0,0,0,0
93309,2012,0,0,0,0,0
92277,2012,0,0,0,0,0
92392,2012,2,1,1,0,0
91978,2012,0,0,0,0,0
92021,2012,0,0,0,0,0
90278,2012,1,1,0,0,0
91754,2012,2,2,0,0,0
95054,2012,7,4,0,0,3
94566,2012,0,0,0,0,0
92127,2012,1,1,0,0,0
92561,2012,0,0,0,0,0
90601,2012,5,5,0,0,0
95981,2012,0,0,0,0,0
92084,2012,1,0,0,0,1
93924,2012,0,0,0,0,0
91361,2012,1,0,0,0,1
92376,2012,9,6,0,0,3
90040,2012,18,14,1,0,3
93591,2012,0,0,0,0,0
90038,2012,2,0,0,0,2
90630,2012,4,4,0,0,0
92802,2012,0,0,0,0,0
92808,2012,0,0,0,0,0
92113,2012,0,0,0,0,0
94903,2012,0,0,0,0,0
93066,2012,0,0,0,0,0
91205,2012,0,0,0,0,0
92129,2012,0,0,0,0,0
90211,2012,0,0,0,0,0
94613,2012,0,0,0,0,0
96025,2012,0,0,0,0,0
91914,2012,1,1,0,0,0
95526,2012,0,0,0,0,0
92843,2012,0,0,0,0,0
94520,2012,2,1,0,0,1
93110,2012,0,0,0,0,0
92869,2012,1,1,0,0,0
94539,2012,3,1,1,0,1
93206,2012,0,0,0,0,0
91206,2012,0,0,0,0,0
93422,2012,1,1,0,0,0
94130,2012,0,0,0,0,0
93543,2012,0,0,0,0,0
94610,2012,0,0,0,0,0
91913,2012,0,0,0,0,0
91411,2012,0,0,0,0,0
91008,2012,0,0,0,0,0
94019,2012,0,0,0,0,0
96097,2012,0,0,0,0,0
93555,2012,1,1,0,0,0
95206,2012,13,11,1,0,1
90501,2012,7,7,0,0,0
94306,2012,0,0,0,0,0
93648,2012,0,0,0,0,0
90305,2012,0,0,0,0,0
94941,2012,0,0,0,0,0
91326,2012,0,0,0,0,0
91733,2012,0,0,0,0,0
90232,2012,1,1,0,0,0
90605,2012,1,1,0,0,0
95311,2012,0,0,0,0,0
92399,2012,0,0,0,0,0
95030,2012,0,0,0,0,0
92782,2012,0,0,0,0,0
90007,2012,0,0,0,0,0
95608,2012,2,2,0,0,0
93730,2012,0,0,0,0,0
93453,2012,0,0,0,0,0
90026,2012,0,0,0,0,0
93644,2012,1,1,0,0,0
92065,2012,0,0,0,0,0
92116,2012,0,0,0,0,0
90606,2012,2,2,0,0,0
93616,2012,1,1,0,0,0
94546,2012,1,0,0,0,1
95118,2012,0,0,0,0,0
93241,2012,0,0,0,0,0
91770,2012,1,1,0,0,0
92505,2012,2,2,0,0,0
91776,2012,0,0,0,0,0
93454,2012,2,1,1,0,0
92145,2012,0,0,0,0,0
91203,2012,0,0,0,0,0
91935,2012,0,0,0,0,0
96122,2012,0,0,0,0,0
93212,2012,2,0,0,2,0
93704,2012,0,0,0,0,0
94598,2012,0,0,0,0,0
92604,2012,0,0,0,0,0
93426,2012,0,0,0,0,0
92555,2012,1,1,0,0,0
92082,2012,0,0,0,0,0
95360,2012,0,0,0,0,0
92395,2012,1,1,0,0,0
95641,2012,0,0,0,0,0
95811,2012,0,0,0,0,0
94519,2012,0,0,0,0,0
95912,2012,0,0,0,0,0
94949,2012,1,0,0,0,1
94065,2012,0,0,0,0,0
95320,2012,1,0,0,1,0
95231,2012,1,1,0,0,0
92225,2012,0,0,0,0,0
94062,2012,0,0,0,0,0
94515,2012,0,0,0,0,0
95824,2012,1,0,0,0,1
91765,2012,0,0,0,0,0
91906,2012,0,0,0,0,0
91741,2012,0,0,0,0,0
90701,2012,0,0,0,0,0
92617,2012,1,0,0,0,1
96114,2012,0,0,0,0,0
93004,2012,0,0,0,0,0
91302,2012,0,0,0,0,0
95303,2012,0,0,0,0,0
91107,2012,0,0,0,0,0
94579,2012,0,0,0,0,0
94583,2012,0,0,0,0,0
92647,2012,3,3,0,0,0
